ruian_address_id;adresa;obec;cast_obce;ulice;cislo_domovni;cislo_orientacni;psc;zona;cena_rozvozu_czk;pravidlo
1502271;1. máje 120, 26712 Loděnice;Loděnice;Loděnice;1. máje;120;;26712;zone-80;80;Loděnice
1502778;1. máje 167, 26712 Loděnice;Loděnice;Loděnice;1. máje;167;;26712;zone-80;80;Loděnice
1502841;1. máje 174, 26712 Loděnice;Loděnice;Loděnice;1. máje;174;;26712;zone-80;80;Loděnice
1502859;1. máje 175, 26712 Loděnice;Loděnice;Loděnice;1. máje;175;;26712;zone-80;80;Loděnice
1502867;1. máje 176, 26712 Loděnice;Loděnice;Loděnice;1. máje;176;;26712;zone-80;80;Loděnice
1502875;1. máje 177, 26712 Loděnice;Loděnice;Loděnice;1. máje;177;;26712;zone-80;80;Loděnice
1502921;1. máje 182, 26712 Loděnice;Loděnice;Loděnice;1. máje;182;;26712;zone-80;80;Loděnice
1502930;1. máje 183, 26712 Loděnice;Loděnice;Loděnice;1. máje;183;;26712;zone-80;80;Loděnice
1503049;1. máje 194, 26712 Loděnice;Loděnice;Loděnice;1. máje;194;;26712;zone-80;80;Loděnice
1503243;1. máje 214, 26712 Loděnice;Loděnice;Loděnice;1. máje;214;;26712;zone-80;80;Loděnice
1504312;1. máje 310, 26712 Loděnice;Loděnice;Loděnice;1. máje;310;;26712;zone-80;80;Loděnice
1504339;1. máje 312, 26712 Loděnice;Loděnice;Loděnice;1. máje;312;;26712;zone-80;80;Loděnice
26763141;1. máje 337, 26712 Loděnice;Loděnice;Loděnice;1. máje;337;;26712;zone-80;80;Loděnice
84227761;1. máje 338, 26712 Loděnice;Loděnice;Loděnice;1. máje;338;;26712;zone-80;80;Loděnice
72514574;1. máje 436, 26712 Loděnice;Loděnice;Loděnice;1. máje;436;;26712;zone-80;80;Loděnice
1501810;1. máje 77, 26712 Loděnice;Loděnice;Loděnice;1. máje;77;;26712;zone-80;80;Loděnice
1501861;1. máje 81, 26712 Loděnice;Loděnice;Loděnice;1. máje;81;;26712;zone-80;80;Loděnice
26783509;5. května 1002, 26751 Zdice;Zdice;Zdice;5. května;1002;;26751;zone-80;80;Zdice
